cemento,escoria_de_horno,ceniza_volante,agua,superplastificante,agregado_grueso,agregado_fino,edad_dias,resistencia_compresion,cemento_bis,alumno_cargador
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28.0,37.810863839999996,171.61747132208475,C
,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736,346.89317789564404,C
134.7,,165.7,180.2,10.0,961.0,804.9,28.0,13.293786756,134.7790732715623,B
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,47.739318239999996,206.65261834354297,A
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,37.431652039999996,148.16907511596,A
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,6.467284879999999,232.9033948324136,A
246.83,0.0,125.08,143.3,11.99,1086.8,,,42.21661548,246.42708529983017,A
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28.0,40.14818748,207.6918897244267,C
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,9999.0,285.3405489226971,B
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100.0,44.298833,242.00420150772123,A
,0.0,0.0,193.0,0.0,968.0,885.0,7.0,9.99050724,230.04508503335137,C
250.0,180.0,95.0,159.0,9.45,860.0,800.0,28.0,67.86512268,244.46116575850562,C
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0,15.568368079999999,153.24107308010323,A
374.0,189.2,0.0,,10.1,926.1,756.7,3.0,34.39795764,362.69294102998623,A
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.495923239999996,308.85771083703145,C
,188.0,146.0,203.0,11.0,829.0,710.0,28.0,32.83974188,155.33074945129638,B
425.0,,0.0,153.5,16.5,852.1,887.1,3.0,33.398217439999996,416.9756190732301,C
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56.0,42.69924868,226.82314020475954,B
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28.0,12.17614616,149.63667951853054,C
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37264682,174.792957019204,A
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14.0,29.592309919999998,210.40848240477973,B
155.0,184.0,143.0,,9.0,880.0,699.0,28.0,28.98557104,155.3725232740634,C
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90.0,32.922478999999996,299.2596429585058,C
439.0,177.0,0.0,186.0,,884.9,707.9,3.0,39.300132,431.5595935280898,B
233.81,,94.58,197.89,,947.04,852.16,56.0,27.66177712,227.98423803659205,C
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.053469468,305.7969893833858,B
