cemento,escoria_de_horno,ceniza_volante,agua,superplastificante,agregado_grueso,agregado_fino,edad_dias,cemento_bis,alumno_cargador
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,178.8568875363074,B
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,308.183536600161,C
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,207.6734789581095,A
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,247.0780695958213,A
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,356.1851367288121,A
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56,187.13815472070524,C
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3,246.1351861958216,A
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3,433.6541853215728,B
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,161.0725199559726,A
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28,223.2360592320468,B
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,138.48089451157225,A
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,319.5219556655959,B
355.0,19.0,97.0,145.0,12.25,967.0,871.0,28,341.927564014628,C
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,126.22486887124109,A
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,142.50408522129763,A
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,133.55553017851233,C
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,377.7638264368346,A
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,326.14798385782103,A
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,290.71482919838513,C
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,324.92467189908496,B
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,170.221533833845,B
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,382.70477118190206,C
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,199.1128239337032,C
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,159.75312046498857,B
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,233.08640866455025,B
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28,435.858765290949,C
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,375.261587398022,A
250.0,0.0,95.69,191.84,5.33,948.9,857.2,3,245.59337024582555,B
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14,246.46505102725297,A
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,294.0652361929545,C
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,147.51752377079907,A
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,370.6273823634174,C
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,156.51325400242598,B
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100,243.7477784222156,A
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,56,217.0433819476996,B
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7,380.3595942217117,C
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,164.49079046230494,C
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,377.5508632322317,C
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,328.10135358741934,C
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,246.0026802089673,C
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,157.04565234240977,C
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,244.42486401609256,C
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,156.48616048907903,C
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,389.0019933348152,C
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,507.2175911299237,C
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,171.41525560374444,C
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,164.60699361082757,A
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,285.0122168724417,A
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,263.6105846371968,A
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,228.7998848592493,C
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,417.9914822321613,A
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,319.7957750433953,A
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90,105.1626248871402,B
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,352.4526497133029,C
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,196.41472429617605,C
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,150.93650378597755,B
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,364.4295075221344,C
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,354.20278631800505,B
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,160.1135830157757,B
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,283.65162608357804,A
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,132.7815264741508,A
